corps,titre,avis
"Très jolies bouches d’oreilles. Elles sont bien longues mais légères en même temps, on ne les sent pas. Très satisfaite de mon achat.",Offre très intéressante,positif
"Prix convenable , les plumes sont jolies par contre la livraison est tres longue mais je met 2 etoiles car les plumes ont été plié du coup cassé pour rentrer dans l emballage....",Satisfait par le produit malgres que ce ne soit pas parfait,négatif
J'ai acheté ceci comme cadeau et mes amis l'aiment beaucoup! Le produit a une belle boîte cadeau pour les protéger. Le bracelet peut être ajusté librement en taille. Il est conçu pour les jeunes et les moins jeunes. Le prix est aussi très raisonnable. Conseillé.,Cadeau idéal,positif
Les créoles ferme vraiment mal surtout une très légère je me demande si c'est vraiment du plaqué or on verra dans les jours qui viennent,Créole,négatif
C'est jolie à apporter mais la chaîne déjà noircie j'ai des doutes sur la qualité et qu'elle soit en argent à suivre avec le temps !!!,Moyen qualité,négatif
Un peu léger.Mais vu le prix,Sans plus.Un peu déçue,négatif
Pendentifs jamais reçus. Le vendeur n'a jamais voulu me rembourser et n'a pas voulu se plaindre à la Poste ou ne serait-ce que se renseigner. Heureusement qu'Amazon m'a remboursée... Je ne recommande donc pas.,Pendentif jamais reçu.,négatif
"petites boucles mignonnes, un basique. Elles sont un peu fine et pas très épaisses. c'est qd mm moyen. en les portant avec d'autres à côté, ça va. ou en les accumulant. Mieux vaut peut-être acheter sur les marchés pour voir la matière le poids et l'épaisseur. elles seront aussi a priori moins chères. car là je les trouve un peu chère pour ce que c'est.","Mignon, basique.",négatif
"J'ai commandé ce pendentif pour un anniversaire. À réception, j'ai remarqué que le pendentif était fendu sur le côté et qu'il avait été recollé avec une sorte de colle néoprène brune laissant apercevoir de vilaines tâches par transparence. Ou alors, peut être que ce pendentif est façonné à partir de ""chutes"" de pierre qui sont assemblées, taillées et polies ensembles. Dans tous les cas, on n'offre pas un pendentif fendu, donc on ne devrait pas, à la base, le vendre...",Une chinoiserie vendue fendue...,négatif
"Lors de la réception, ils étaient (commandé 2) plein de poussière brune. Je les ai juste frotté avec du sopalin et après nickel. Même après avoir été dans l'eau, ils n'ont aucun problème et mes chats adorent jouer avec quand je les portes. Pour le moment je ne suis pas déçue",Parfait,positif
Boucles de nez à ne pas recommander tige trop longue et bouge dans le nez . Aucunes class les pierres très petites et ternes . Vraiment déçue,mon achat .,négatif
CE UN BON PRODUIT MES IL ME CONVIENT PAS JE VOULER AUTRE CHOSE DESOLEE JE VERAIS AUTRE CHOSE MERCI A VOUS,IL ET BIEN MES IL VA PAS POUR MOI,négatif
"Nul, n’a même pas tenue une nuit l ancre c est arracher je déconseille c est nuuuuul!",Nul,négatif
Petites boucles rien à voir avec la photo aucun intérêt,Déçue,négatif
"Jolie chaîne jolie reçue dans les délais et de bonne facture. Permet d’accrocher facilement un cœur, une médaille, ou etc.",Belle chaîne,positif
"dommage,la chaine trop fine,sont arrivées cassés,elles sont pourtant belles mais beaucoup trop fragiles,je ne les recommande pas malgrés leur petit prix",perle,négatif
"je mets 2 étoiles car ils ont eu la gentillesse de me rembourser rapidement mais je n'ai jamais reçu le colis, il s'est perdu, ce n'est sûrement pas de leur faute mais de celle des transporteurs dommage la bola avait l'air très belle et les commentaires des autres étaient bons, je ne saurais jamais à quoi elle ressemble de près!",jamais reçu,négatif
Super produit et joli,Bien,positif
Qualité médiocre. Deux boucles n’ont pas tenues à leur mise en place et fermeture et se sont cassées. La tige n’a pas tenue.,Plus que moyen,négatif
"J'ai acheté le collier en début janvier. Je le porte tous les jours et il encore comme neuf, très bon rapport qualité-prix !",Ça fait 5 mois que je le porte tous les jours et il est comme neuf,positif
parfait pour le pendentif que j'ai fabriqué,tout est parfait et joli produit,positif
Très joli mais beaucoup de bruit comparé à d’autres et collier pas assez long du tout même pour une fin de grossesse,Beau mais court et trop de bruit,négatif
Correspond parfaitement à mes attentes de très bonne qualité et très beau rendu. je le recommande pour un cadeaux.,Bracelet en pierre.,positif
Les perles sont jolies mais le bracelet noir a cassé après 3 jours..... dommage,Fragile,négatif
"Je note la livraison et non le produit puisque impossible de l'avoir et de faire une réclamation livraison sur le site. Je passe beaucoup de commandes sur Amazon, mais là je commence à en avoir marre. Vos livreurs laissent les colis dans les boîtes aux lettres des voisins, ce qui n'est pas légal déjà au niveau de la livraison. De plus, ma voisine étant en congés, impossible de récupérer les colis (et deux des produits étaient pour offrir!). Donc je commence vraiment à être de moins en moins satisfaite du service de livraison Amazon et si cela continue j'irai acheter mes cadeaux ailleurs.",Je note la livraison déplorable,négatif
"Très beau charm, très belle finition, bleu profond.Compatible pandora et soufeel. Livrée dans une petite boîte à bijou noir Merci NinaQueen",Un de mets plus beau charm,positif
Reception rapide et conforme à la description.Beau bracelet qui se porte avec beaucoup de tenue. Je rachèterai sans souci pour offrir...,Belle chaîne de quali.,positif
Bracelet très court et très fin Envoi très raide très soigné Je recommande moyennement ce produit Après chacun fait comme il pense,Bracelet,négatif
Très joli bracelet. Malheureusement celui-ci s’est rapidement énormément élargi. Initialement il tenait bien au poignet en a peine 2 semaines il descend jusqu’au milieu de l’avant bras... qualité décevante.,Attention s’élargit...,négatif
Tres tres beau collier !! La chaîne est fine limite un peu courte pour moi mais c'est pas gênant le pendentif est lui aussi tres beau ! Assez petit de taille mais tres beau !! Je le porte tout les jours je me douche etc avec il na pas bouger de tres bonne qualité je recommande,Au top,positif
A première vue le produit est très bien les différentes taille de diamants cependant les tiges sont trop courtes et trop grosses,Vraiment en cas de dépannage.,négatif
Charm comme sur la photo mais fait en plastique et non en argent comme écrit dans la description,Pas en argent,négatif
Pas une très belle boîte mais je m'attendais pas à quelque chose de fou vu le prix.,Correspond a l'image,positif
cassé au premier choc,fragile,négatif
"Le stopper à un morceau de Silicon intégré pour faire son rôle de stopper, malheureusement ceux que j ai reçu on des pierres qui ne sont plus scellée et sont tombées avant que je n ouvre le plastique à la réception du colis, très déçue pour le prix, renvoi",Déçue,négatif
"Arrivé mercredi, porté vendredi à peine une heure et ke cordon des 2 bracelets a craqué. Fil trop fin par rapport aux perles . Très déçue car très joli bracelet",Fil pas adapté à la grosseur des perles !,négatif
"Bijoux de bonne qualité, néanmoins la chaine est un peu trop fine, casse vite et fait des noeuds difficiles à démeler",Bonne qualité,positif
a par le retard de presque une semaine mais la qualité c'est pas terrible,chaine,positif
Beaucoup trop grand peux pas le serrer au poignet pas génial les boules ressemble trop à du plastique 👎,Trop grand déçu,négatif
Mauvaise qualité . Les files se casse . Je ne recommande pas c’est bracelet distance . Très déçu . .,Bracelets distances,négatif
La qualité correspond au prix qu'on paye. C'est correcte. Par contre attention ces bagues sont donc ovales et pas rondes comme l'image peut laisser croire. Comme il m'en faut des rondes je recommande des rondes et donc encore 3 semaines d'attente.,Bagues OVALES,positif
Allergique au nickel passez votre chemin.,Contient du nickel,négatif
Mon commen taire va encore être supprimé mais je n ai reçu aucun des articles commandé chez ce vendeur méfiez vous et amazon m empêche tout contact avec lui j ai le sentiment d une belle arnaque,Jamais reçu,négatif
"Acheté comme cadeau pour un ami, je l'aime vraiment, a du poids et est très joli",Joli bracelet,positif
"Très jolie ! A première vue , je tarde à écrire un commentaire en effet j ai effectué un demande de renvoi malheureusement impossible de mettre la main dessus . Je l ai perdu kk part dans ma salle de bain . Bref tanpis pour moi , en effet le bijou a perdu un Pierre brillante la seconde où je l ai poser et enfin , il ne tient pas , sa chatouille le nez sa bouge bref à moins d avoir des narines un peu plus grosse sa ne vous conviendra pas . Sinon très jolie !",Dommage,négatif
Magnifiques!! Originales et raffinées!!! Livrées plus rapidement que prévu!! Je ne regrette absolument pas mon achat surtout à ce prix là!!,Très raffinées!,positif
Cassé des la premiere utilisation,Decue,négatif
"Produit commandé pour faire des barrettes à fleurs fraiches pour un mariage. Commandées des semaines à l'avance, je les ai reçues APRES la date de la cérémonie. Je se retrouve donc avec 50 pinces qui ne me serviront pas et elles ont manqué le jour J.",Retard livraison,négatif
Produit de mauvaise qualité Point de rouille sur la bague,Rouille,négatif
j'aime le style de ce bracelet et les couleurs me plaisent beaucoup,bracelet chaine moto,positif
pas mal pour offrir,tres joli,positif
"super collier, hâte de voir si sa fonctionne réellement (ma fille va seulement avoir 3 mois) et reçu bien avant la livraison prévue",je recommande,positif
"Très jolie bijoux ,très contente de l avoir acheter,","La qualité du produit ,,satisfaite,,",positif
Offert pour un anniversaire très déçu de la taille attention je ne le recommande pas,Pandora,négatif
"Super beau, très contente",Conforme à la description,positif
"Je suis fort déçu de mon achat , ce pendentif fait vraiment pas beau et en plus à un aspect plastic très déplaisant , je suis déçu de mon achat et je ne recommande pas ce produit .",decu ...!!!!,négatif
"Bonjour, comment peut-on vous contacter? Je n'ai été livré que d'une partie de la commande... Il s'agit d'une parure collier + bracelet à la base... Je n'ai reçu que le collier... Cordialement.",Et le reste...?,négatif
"Très joli bracelet, mais fermoir très fragile. J'ai dû le renvoyer, car soudure cassé...",Fragile ++++,négatif
Très jolies bracelets mais 2 jours plus tard noirci déjà un peu déçu,Noirci,négatif
"Produit qui pu le pétrole. Attention grand risque de réactions allergiques. Très rigide, fais mal au poignet. Très mauvaise qualité du produit. Pour ce genre de bracelet allez sur des sites spécialisés.",Bracelet horrible.,négatif
"Belle finition, Élastique un peut trop souple , attention au geste rapide 😏",Classe,positif
"je ne saurais en dire plus, il a l'air de plaire à la personne à qui je l'ai offert.... bon rapport qualité prix, pourvu que l'élastique ne cède pas vite...",C'était un cadeau,positif
"Pour un cadeau, je trouve la perle un peu petite. Il manque également un certificat indiquant le type de perle et que la monture est en argent;",Boucle,positif
ces boucles d'oreille toutes simples font très bel effet ; excellent rapport qualité prix,très jolies boucles,positif
Bijoux ne m'a pas convaincu,"Même si la taille correspondait, le bijou fait trop pacotille.",négatif
"par contre dans le descriptif images il y a une petite pochette cadeau pandora, je ne l'ai pas eu du tout",le produit est très bien,positif
Bonjour Vous m'avez envoyé la croix de boule Hallyday avec un cordon noir alors que j'avais demandé une chaîne car le prix n'est plus le même pourriez-vous me l'envoyer s'il vous plaît merci,réclamation,négatif
Noirci rapidement déçu de cet achat,Boucle d'oreille,négatif
"Conforme à la description, parfait pour la pate fimo et passe sans problème au four",Parfait !,positif
"ces boucles ne sont pas similaires à la photo, du coup erreur dans la commande ou pas.","ces boucles ne sont pas ce que l'on montre sur la photo. Mis à part cela, livraison rapide",négatif
"Trop fin et plein de noeuds dans le collier. Assez déçue, je ne le mettrai pas. Collier basse qualité, ce serait encore mieux de vendre le pendentif avec plus de qualité mais sans le collier alors.",Déçue,négatif
Au bout de 2 heures le fermoir reste accroché au bracelet mais le bracelet tombe par terre. J'ai perdu le petit anneau qui relie le fermoir au bracelet. Je ne conseille pas cet achat !,Achat décevant,négatif
"Tout mignon ce petit chat accroché à sa chaîne. La chaîne est un peu fine du coup surement fragile, mais tout à fait conforme à la description et livraison dans les temps. Rien à dire.",Très satisfaite,positif
Pour un petit cadeau pas cher,Sympa,positif
"Pas conforme à mes attentes mauvaises finitions se déforme très vite obliger de les changer régulièrement Après vu le prix, ça dépanne.",mauvaise qualité,négatif
"Très joli, ne s’oxyde pas pour le moment je le porte régulièrement Livraison au top Je suis ravie de mon achat",Très joli rendu,positif
"J'ai commandé ces boucles d'oreilles pour la 2ème fois car par manque de chance, ça fait 2 fois que j'en perds une et comme elles me plaisent bien et que j'en étais contente par rapport à la qualité et au prix j'ai réitéré ma commande vu que je ne peux porter que de l'or et franchement rien à redire et livraison rapide.",Boucles d'oreilles en or à prix correct,positif
La course de l'attache est trop courte. Il va falloir sortir les outils pour pouvoir les utiliser. c'est le second jeu d'extension que je commande (pas le même) mais résultat identique. pffff ! très déçue.,Décue,négatif
Tres longue livraison!!! Presque un mois et demi!!! Je mets une petite étoile à cause de livraison...un mois et demi!!! J'ai pas peu apprécié le bracelet...mais il est très beau!!!,Tres longue livraison!!! Presque un mois et demi!!!,négatif
Une chose je veux avoir ma télévision de 40 pouce avec mon bracelet et ma chaîne avec le médaillon en croix et ma bague pierre bleue pour mon mariage,Je veux avoir ma télévision s'il vous plaît,positif
"Pourquoi dois-je écrire 20 mots? Ce produit est bien et mignon, c'est tout ce qu'il y a à dire. Reçu dans les temps malgré l'annonce du contraire.",Très mignon,positif
"les matériaux en eux mêmes font toc, dommage !!! Mais pour le prix il ne faut pas trop demander..",un peu cheap,négatif
aspect camelote en réel,décevant,négatif
Mon produit n'as pas etais livré dans les dates correspondant Très déçus,Non livré à la date souhaité,négatif
le collier et boucles présentent bien. suis contente de mon achat. -,article très joli,positif
"Acheté pour in Kdo, très contente il est magnifique.",Qualité cuir impeccable,positif
les fermoirs ne sont pas de très bonne qualité et une des perles a déjà bougé...un peu déçue,qualité moyenne,négatif
très beau bracelet conformé à la photo - adaptable - métal argenté de qualité. Le délai de livraison a été long mais on peut être patient. A recommander,très beau bracelet,positif
"pas reçu , la boutique la renvoyer ,car pas mon non dessus , demande le remboursement ,,pour pouvoir en commander un autre A M C",pas reçu,positif
"Agréable a l'instant T. Puis laisse d'horribles traces vertes autour du coup après 2h d'utilisation car oui, un être humain transpire, surtout en plein été. Merci pour l'effet au mariage..",Déçue,négatif
Marqué livré mais g rien reçu,Commande non reçu,négatif
Très belles boucles d’oreilles. Avez_vous le collier avec cette pierre et avec le même montage carré ? Je vous le commanderai volontiers. Merci.Celine.,Grand Merci,positif
très joli effet sur un pull ou sur la peau maintenant j'attend les commentaires car c'est pour offrir a une jeune fille ... pour moi c'est super,le beau papillon,positif
J'étais particulièrement déçue car le cadeau était pour la fête des pères le 16 juin du coup j'ai pris l'option Prime et on m'indiquait qu'il arriverait au plus tard le 15 juin sauf que celui-ci a été livré dans ma boîte aux lettres que le 18 juin. En conséquence je demande qu'Amazon fasse un geste commercial car j'ai dû acheté un autre cadeau à la place! Je recommande donc aux personnes de se méfier du délai annoncé qui est loin d'être respecté! Cdlt,Déçue,négatif
Ne peut vraiment pas juger de l’efficacité de ce bracelet ???et je le porte depuis deux mois !ma mère de 88 ans n’a aucun résultat,Pas de résultats ressentis !,négatif
Très joli petit bracelet .. l’arrache est fine mais pour le prix ..,Beau bracelet,positif
Reçu en 2 jours mais la qualité n'est pas top mais reste correct au niveau du prix Dommage que les deux ne s'assemble pas,Correcte,positif
"Jolie produit, je ne suis pas certaine de l'authenticité des pierres du bracelet.",Bracelet chakra et pierre,positif
"Obligé de mettre une étoile pour commenter. Très déçue de la taille du panier, acheté pour mon chat et non une souris.. donc aucune utilité ! Je vais demander remboursement de cet article...",PANIER POUR SOURIS!,négatif
Non reçu... pas de nouvelles du service client,Non reçu...,négatif
Magnifique collier qui aurait pu faire sensation car il me plaisait vraiment beaucoup mais l'attache est extrêmement défectueuse. Le ressort du crochet m'a cassé dans les doigts au moment où j'allais le mettre... Je suis très déçue....et surtout je ne peux plus rien en faire.,achat décevant,négatif
"Très très déçu par la couleur des bracelets!!j'en ai commandé 2 identiques et ni l'un ni l'autre n'ont la couleur de la photo! Ils sont ternes et dans le bleu/gris ,rien à voir avec la photo!Je ne recommande pas!",Rien à voir avec la photo!,négatif
Comme sur la photo très jolie seule problèmes j'en n'est une qui se clipse pas la barre se plie malheureusement,Boucle doreille,positif
Magnifique bracelet! C'était l'un des meilleurs!,C'était l'un des meilleurs!,positif
"très joli. un peu lourd à porter, mais très joli. je pense qu'après plusieurs utilisation je ne le sentirais plus.",collier feuillage,positif
très belle chaine et de bonne qualité elle fait un très jolie effet je la recommande vous ne serai pas déçu,chaine acier,positif
"Cette pince crabe fait la bonne longueur (environ 9 cm) - elle est un peu moins large qu'un autre modèle noir à strass, mais j'ai les cheveux fins mais très longs, et elle les tient tous, alors ça va! je la recommande également parmi toutes celles qui sont proposées.",très bien,positif
"La chaine s'est cassée après seulement 30 min... très dommage, elle n'a pas servi longtemps! Elle était jolie, mais sûrement beaucoup trop fine.",Chaine argent,positif
Très déçu pas du tout comme sur la photos il fait vieux tout noir vraiment très déçue,Déçu,négatif
Je n'ai toujours rien reçu,Rien reçu,négatif
C’est dommage mon colis s’étant perdu je ne l’ai pas reçu j’ai eu un remboursement.,Colis perdu,négatif
"La taille du pendentif et bien, le trou assez large pour passer un cordon. Par contre celui que j'ai reçu est très opaque, quasiment pas de transparence et il y a quelques petites impuretés noires à l'intérieur. A voir si je le mettrais du coup...",Cristal de roche,négatif
Bonjour j’a Commandé ces boucles le 2 décembre et je les attends toujours aujourd’hui 17 janvier ce n’est Pas sérieux du tout . Une cliente vraiment mécontente.,En attente de ma commande,négatif
Boucles d'oreilles trop petite. La taille n'est pas précisée sur le descriptif ce qui est trompeur. On dirait des boucles d'oreilles pour enfant.,Trop petites,négatif
"Mauvaise qualité, c'est une babiole de mauvaise qualité, se tord au bout de quelques utilisations , esthétiquement moche, je ne recommande pas.",bracelet,négatif
"Je n ai rien de particulier à dire, sauf que je suis déçue par le rendu, sans pouvoir en donner la raison. Elles n ont pas l effet escompté.",Déçue,négatif
"Beaucoup de choix de couleur , léger le hic est que j ai fait des réactions avec ce produit. Un eu déçu du coup",Joli mais mauvaise reactions,négatif
Bravo très beau travail,Fait main,positif
Jolie pour un enfant,Jolie,positif
"Très honnêtement je suis ravie d'avoir acheter ce petit collier en forme de coeur,pour la petite histoire ,je recommande ce collier sans hésitation c'est une très bonne affaire.",Je recommande cette article!,positif
Bonjour j'attends toujours ma commande que je n'ai pas reçu et je ne peux pas contacter le vendeur alors comment faut-il faire? Merci de bien vouloir me répondre,Ou est ma commande?,négatif
Malheureusement un étais arrivé casser Livraisons assez rapide Très jolie Agréable à porte Facile à mettre un peu compliqué à enlever,Bien,positif
Très belles boucles d’oreilles,Très belles boucles d’oreilles,négatif
le bracelet n' est pas comme sur le site avec des couleurs éclatantes comme le descriptif du produit donc pas satisfait,déçeption du bracelet,négatif
Tout correspond à mes attentes et à la description du produit,Rien à redire,positif
Acheté depuis un mois et porté occasionnellement 5 à 6 fois et déjà la couleur noire commence à disparaître sur le cuir à proximité de la boucle . Des doutes pour être un bracelet cuir bien qu’il y est l’odeur les premiers jours mais qui a très vite disparue . Dommage car ça conception me plaît bien.,Des doutes sur la qualité,négatif
Très bel article de belle qualité . De belle taille. Plus joli encore que sur la photo . Enchantée par cet achat.,Coeur perle.,positif
J'adore ! Les ras de cou sont sublimes. Je me suis douchée plusieurs fois avec et ça ne bouge pas !,Sublime !,positif
"Acheter y a deux jours ,donc livré très vite. Très beau détails, travail magnifique je recommande",Magnifique,positif
"Très bel objet, reçu le lendemain de la commande, bravo",Très bel article,positif
Déçu ! Je ne suis pas sur que ça soit des vrais pierres au vue de la qualité. De plus en 2 mois il s'est déjà cassé.,Aventurine,négatif
Ravie de mon achat et cette fois il est arrivé entier chez moi!,Très joli,positif
"Pour petits poignets, décue !!",Trop petit,négatif
Très jolie bague mais l’anneau s’oxyde dommage car très jolie forme ..,Chouette mais...,négatif
Je n ai jamais reçu le produit,Nul,négatif
"Très joli bracelet qui est ajustable au poignet. Bon point pour pouvoir faire un cadeau. En revanche, j'ai enlevé une étoile car il est livré sans aucun certificat garantissant qu'il s'agit bien d'argent. Il n'y a que le poinçon sur le bracelet, qu'il faut chercher à la loupe pour le savoir.",Joli bracelet,positif
produit peu satisfaisant. ne tient pas se détache seul. et couleur qui change dommage.,l attente de la commande comme on l a commandé,négatif
tout est dit dans le titre ! Bémol: la méthode réglable a un inconvénient...en cours de journée ça se détend du coup il faut resserrer régulièrement. Un peu pénible.,Belle boîte cadeau et beau bracelet,positif
Beau bijou mais déçue Il n’a pas tenu un mois Une plume s’est décroché alors qu’en le ô fuit n’est pas malmené et n’est porté que la journée Je le renvoi et demande ou m’en remboursement ou l’envoi d’un neuf,Beau mais déçue,négatif
